id,name,address,description,latitud,longitud,amenities
Lycksele,Lycksele,Hamngatan 11,ICA Supermarket Lycksele,64.594738,18.680311,"['RESTROOM', 'SHOPPING', 'CAFE']"
Lyderhorn,Lyderhorn - Beboer,Loddefjordveien 32,Kun for beboere i Lyderhorn Borettslag,60.36707,5.23307,[]
Lyderhorn HL,Lyderhorn Hurtigladere,Loddefjordveien 14,,60.364796,5.233941,[]
B89VTU70SVG8W,Lyngen Blåisvannet,Lenangsveien,"Parkering:
5 min gratis 
Første påbegynte time: kr 50,-
Deretter per påbegynte time: kr 30,- 
Makspris per døgn: kr 250,-

Årskort kan kjøpes i EasyPark-appen ved å søke takstkode 88652. Kameraparkering må være aktivert i appen før innkjøring",69.758258,19.955603,"['RESTROOM', 'REST_STOP', 'CAFE']"
Lyngseidet,Lyngseidet,Parkveien 15,,69.574613,20.205401,"['RESTROOM', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
BAEP4QGYWBZEO,Lærdal Sykehus,Sjukehusvegen 9,,61.101112,7.520192,"['RESTROOM', 'RESTAURANT', 'CAFE']"
Magasinet,Magasinet Drammen,Nedre Storgate 6,,59.742422,10.206182,"['RESTROOM', 'SHOPPING', 'CAFE']"
Malung,Malung,Grönlandsvägen 30,ICA Supermarket Malung,60.68302,13.712421,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Malvik,Malvik Senter,Svebergvegen 3,,63.42062,10.75503,"['RESTROOM', 'SHOPPING', 'CAFE']"
BAIRW01XJNKSG,MAN Truck & Bus Bergen,Nordre Brurås 35,"Ladestasjon på utsiden er tilgjengelig for alle hele døgnet.  Ladestasjonen innenfor gjerdet er tilgjengelig på dagtid, eller hele døgnet om man har kode til porten.",60.48299,5.38369,"['TRUCK', 'CAR_TRAILER']"
Markedet2,"Markedet, Haugesund",Skåregata 92,Åpningstider p-hus: Man-Fre 07:45-20:00. Lør 10:00-18:00,59.410562,5.273672,"['RESTROOM', 'SHOPPING', 'CAFE']"
Maurset,Maurset,Sjonaleitsvegen 2,Ved Maurset Landhandel. Selvbetjent butikk åpen alle dager 07-23.,60.410074,7.324227,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Maxi Sandnes,Maxi Sandnes,Gravarsveien 7,Lokale parkeringsregler gjelder for biler som lader. Se skilt. ,58.847749,5.738282,"['RESTROOM', 'SHOPPING', 'CAFE']"
Dolviken,Meny Dolviken,Dolvikvegen 36,,60.308808,5.270388,"['RESTROOM', 'SHOPPING']"
Os,Meny Os,Industrivegen 2,,60.205267,5.449629,"['RESTROOM', 'SHOPPING']"
B8CV9678MTJWG,Meråker,Mellomriksvegen 4855,,63.417817,11.73893,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BAAYLA9GNWJ5S,Moers,Klever Straße 47,,51.45601,6.636872,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Mora,Mora,Siljanssågsvägen 15,ICA Maxi Stormarknad Mora,61.006894,14.596248,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B9FBU7A9G58U8,Mullsjö,Skaraborgsgatan 3,ICA Supermarket Mullsjö,57.914677,13.870941,[]
BA2SS8HIA5P1C,Munkebäck - Göteborg,Lilla Munkebäcksgatan 2 A,,57.722973,12.024108,[]
B9ZJBMFEZDDDS,Mölndal Galleria,Barnhemsgatan 22,P-hus Gallerian Plan 3,57.655238,12.013698,"['RESTROOM', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'BAR', 'WIFI', 'CAFE']"
B84J2LK3PF5S0,Mölnvik - Värmdö,Afrodites väg 6,ICA Maxi Värmdö,59.31222,18.425962,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
BAVROD9QJ24U8,Mönsterås,Södra Vägen 17 ,,57.029049,16.439965,"['RESTROOM', 'CAR_TRAILER']"
BA04VX635PMO0,Mørkøv Lægehus,Ringstedvej 7A,,55.649696,11.503636,[]
NAF Kvamskogen,NAF Kvamskogen,Kvamskogen,,60.378063,5.988505,"['RESTROOM', 'SHOPPING', 'CAFE']"
B98SDD8GMTN28,Narvavägen - Stockholm,Narvavägen 4,,59.332876,18.093079,"['RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'BAR', 'CAFE']"
Nesbyen,Nesbyen,Rukkedalsvegen 1,,60.570975,9.111929,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8A2NBNJU0ZY8,Nesflaten,Nesflotvegen 10B,,59.64564,6.800865,"['RESTROOM', 'SHOPPING']"
BACF3HBVXR8CG,Nora,Storgatan 45,ICA Supermarket Nora,59.513,15.0229,[]
B9YNY9DQOS9OG,Nordfjord Sykehus,Sjukehusvegen 14,,61.915963,5.980042,[]
Norheimsund,Norheimsund,Grova 8,,60.372826,6.144626,"['RESTROOM', 'SHOPPING', 'CAFE']"
BA8GYW8VIBLKW,Norremark - Växjö,Norremarksvägen 3,,56.902647,14.830813,['RESTROOM']
Norrfjarden,Norrfjärden,Porsnästorget 3,ICA Nära Norrfjärden,65.421877,21.496741,"['REST_STOP', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B9I3W38U5R56O,Nossebro,Sturegatan 9,ICA Supermarket Nossebro,58.190572,12.717095,[]
B8JEZNYNBN1TS,Nyland,Borgargatan 17,ICA Supermarket Rosen,63.006726,17.759784,"['RESTROOM', 'REST_STOP', 'SHOPPING']"
B8X3TAHD8QPKW,Næsbjerg Skole,"Troesmosevej 2, Næsbjerg",,55.623512,8.596771,[]
Oasen,Oasen Senter,Folke Bernadottes vei 52,Hurtigladere er tilgjengelig hele døgnet. 3 timer gratis parkering. AC-ladere er plassert i P-hus.,60.348691,5.293111,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Oddensenteret,"Oddensenteret, Grimstad",Odden 1,"
",58.337482,8.593778,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B9F804LTC6BK0,Oksbøl,Stationsvænget 2,,55.626112,8.281393,['SHOPPING']
B8RQDKS57OP34,Olofström,Ekhagsvägen 2,ICA Maxi,56.275554,14.543385,"['RESTROOM', 'SHOPPING', 'CAFE']"
Olrud,"Olrud Handelspark, Furnes, Hamar",Kårtorpvegen 1,,60.828919,11.066275,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B9FT5DNAQN5Z4,"Onartun, Onarheim",Onarheimsvegen 317,,59.94828,5.628882,"['RESTROOM', 'SHOPPING', 'CAFE']"
Fagerhaug,Oppdalsporten Fagerhaug,Trondheimsvegen 1220,,62.656773,9.881765,"['RESTROOM', 'ACCOMMODATION', 'CAFE']"
Oppedal,Oppedal fergekai,Ytre Oppedal,,61.054582,5.509423,"['RESTROOM', 'REST_STOP', 'CAFE']"
BAR6U99DLLWCG,Orø Havn,Orø Havn 1,,55.756416,11.801652,['RESTROOM']
BAS9P6FJGZHMO,Oskarshamn,Döderhultsvägen 26,,57.266296,16.433849,"['RESTROOM', 'CAFE']"
Vestby,"Oslo Fashion Outlet, Vestby",Vestbyveien 155,AC ladere i P-hus 1. etg,59.623221,10.741799,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'BAR', 'CAFE']"
Ostereidet,Ostereidet Senter,Eidavegen 532,,60.625771,5.473822,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'TRUCK', 'CAFE']"
BAACCP0XLY6TC,Osterholz-Scharmbeck,Am Pumpelberg 5-6,"Hinweis: Wenn Sie von der Hauptstraße aus kommen, ist die erste Auffahrt zum Parkplatz sonntags geschlossen. Fahren Sie die Straße bis ganz ans Ende, dort ist die zweite (geöffnete) Einfahrt zum Parkplatz.",53.232576,8.777363,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B8ZCXJZIVZ2TC,Parken Åfjord,Joakim Brevolds Allé 4,,63.960751,10.226787,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
B8OP6PE43D5HC,Plug - Båter i sjøen,,Lading for elbåter på Båter i sjøen,59.9079,10.726445,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'BAR', 'WIFI', 'CAFE']"
B8ONQ2ESK2VI8,Plug - Flekkerøy,Østerøya 41B,Lading av båt og bil.,58.08072,7.99792,['REST_STOP']
B9VNYAJTHL1J4,"Plug - Fyrskeppet, Stockholm","Biskopsvägen, Fyrskeppet",To exit the gate use the button on the right side of the gate. To get in use the code #2355.,59.321733,18.127964,"['RESTROOM', 'RESTAURANT', 'CAFE']"
BAKGA3PA60MIO,Plug - Holbergkaien1,Holbergskaien 12,"Lading av bil og båt

Charging for cars and boats",60.396656,5.316411,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'CAFE']"
B8M3KKGFTIDXC,Plug - Hyke ,,Charging for Hyke Shuttle 0001,59.199029,10.946816,[]
B9DXBYN81TUDC,"Plug - Leirvik Havn, Stord","Hamnegata 14, 5400 STORD,",,59.778472,5.501202,"['RESTROOM', 'TRUCK', 'CAFE']"
B8MUSRXJEFNR4,Plug - Ramberg ,,"Lading fartøy og kjøretøy
Landstrøm fartøy",68.08913,13.221177,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'TRUCK', 'WIFI', 'CAFE']"
